SNR_1,SNR_2,BLER
10,3,0.128947368421053
10,4,0.0727040816326531
10,5,0.0609756097560976
10,6,0.027972027972028
10,7,0.017718715393134
10,8,0.00749464668094218
10,9,0.00649350649350649
10,10,0.00725388601036269
10,11,0.00417536534446764
11,-3,0.337792642140468
11,-2,0.336666666666667
11,-1,0.341216216216216
11,0,0.313664596273292
11,1,0.26790450928382
11,2,0.195357833655706
11,3,0.134487350199734
11,4,0.0765370138017566
11,5,0.0428061831153389
11,6,0.0255220417633411
11,7,0.0087431693989071
11,8,0.007502679528403
11,9,0.00525210084033613
11,10,0.00515463917525773
11,11,0.00205549845837616
